Дата;Оператор;Номер;Продолжительность;
2014-01-09 20:49:56;519;540;00:04:21;
2014-01-09 20:45:03;519;989628048880;00:02:31;
2014-01-09 20:41:40;519;540;00:02:23;
2014-01-09 20:27:26;519;540;00:00:22;
2014-01-09 18:33:42;519;540;00:01:01;
2014-01-09 18:24:59;540;509;00:02:29;
2014-01-09 18:08:34;519;540;00:00:23;
2014-01-09 16:45:20;540;509;00:00:20;
2014-01-09 13:57:37;519;5632;00:03:12;
2014-01-09 11:39:47;519;9252262;00:01:46;
2014-01-09 11:25:00;519;540;00:06:23;
2014-01-09 10:13:46;519;773812;00:02:07;
